BlockSize(KBs) A B C D E
256KB	0.03	0.13	0.09	1.7	0.92
512KB	0.15	0.66	0.61	4.03	4.23
1MB	0.79	2.96	2.73	10.08	18.82
2MB	3.52	7.59	9.48	27.65	49.29
4MB	10.06	17.9	27.57	54.9	73.89
